danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album_name,short_album_name,release_date,album_id
0.455,0.79,7,-4.049,1,0.0432,3.78e-06,0.00021,0.0866,0.22,125.964,audio_features,4JDjZ2AzlHnde5uUy0TveV,spotify:track:4JDjZ2AzlHnde5uUy0TveV,https://api.spotify.com/v1/tracks/4JDjZ2AzlHnde5uUy0TveV,https://api.spotify.com/v1/audio-analysis/4JDjZ2AzlHnde5uUy0TveV,217467,4,Realize,POWER UP,POWER UP,2020-11-13,3bTNxJYk2bwdWBMtrjBxb0
0.526,0.871,7,-4.132,1,0.032,1.74e-05,0.000142,0.0573,0.745,109.82,audio_features,4gLrfXB3CgRlIPH7KTVKA4,spotify:track:4gLrfXB3CgRlIPH7KTVKA4,https://api.spotify.com/v1/tracks/4gLrfXB3CgRlIPH7KTVKA4,https://api.spotify.com/v1/audio-analysis/4gLrfXB3CgRlIPH7KTVKA4,246467,4,Rejection,POWER UP,POWER UP,2020-11-13,3bTNxJYk2bwdWBMtrjBxb0
0.599,0.787,2,-4.708,1,0.0338,2.07e-05,5.27e-05,0.064,0.822,114.065,audio_features,0sfdiwck2xr4PteGOdyOfz,spotify:track:0sfdiwck2xr4PteGOdyOfz,https://api.spotify.com/v1/tracks/0sfdiwck2xr4PteGOdyOfz,https://api.spotify.com/v1/audio-analysis/0sfdiwck2xr4PteGOdyOfz,185133,4,Shot In The Dark,POWER UP,POWER UP,2020-11-13,3bTNxJYk2bwdWBMtrjBxb0
0.57,0.753,9,-5.98,1,0.0365,1.62e-06,0.627,0.133,0.477,119.99,audio_features,3FR2w9O5i9q3unY3gyjq6E,spotify:track:3FR2w9O5i9q3unY3gyjq6E,https://api.spotify.com/v1/tracks/3FR2w9O5i9q3unY3gyjq6E,https://api.spotify.com/v1/audio-analysis/3FR2w9O5i9q3unY3gyjq6E,212227,4,Through The Mists Of Time,POWER UP,POWER UP,2020-11-13,3bTNxJYk2bwdWBMtrjBxb0
0.675,0.93,0,-4.515,1,0.0319,8.32e-05,0.000454,0.315,0.778,110.013,audio_features,0Kq6RzOqkHxnfiA9OGqReU,spotify:track:0Kq6RzOqkHxnfiA9OGqReU,https://api.spotify.com/v1/tracks/0Kq6RzOqkHxnfiA9OGqReU,https://api.spotify.com/v1/audio-analysis/0Kq6RzOqkHxnfiA9OGqReU,190333,4,Kick You When You're Down,POWER UP,POWER UP,2020-11-13,3bTNxJYk2bwdWBMtrjBxb0
0.616,0.801,9,-4.39,1,0.0342,0.000165,3.97e-05,0.11,0.4,120.029,audio_features,06hy0gi5aLXcWRjnj9fgoh,spotify:track:06hy0gi5aLXcWRjnj9fgoh,https://api.spotify.com/v1/tracks/06hy0gi5aLXcWRjnj9fgoh,https://api.spotify.com/v1/audio-analysis/06hy0gi5aLXcWRjnj9fgoh,222253,4,Witch's Spell,POWER UP,POWER UP,2020-11-13,3bTNxJYk2bwdWBMtrjBxb0
0.521,0.881,9,-5.309,1,0.0387,4.93e-06,0.0114,0.141,0.564,160.026,audio_features,6jtUOVRO4p09Z7E35ERRL7,spotify:track:6jtUOVRO4p09Z7E35ERRL7,https://api.spotify.com/v1/tracks/6jtUOVRO4p09Z7E35ERRL7,https://api.spotify.com/v1/audio-analysis/6jtUOVRO4p09Z7E35ERRL7,210360,4,Demon Fire,POWER UP,POWER UP,2020-11-13,3bTNxJYk2bwdWBMtrjBxb0
0.737,0.709,0,-5.744,1,0.0337,0.00012,0.00294,0.199,0.839,108.016,audio_features,1ZyQEn0iceHj0Lbt6I6Op3,spotify:track:1ZyQEn0iceHj0Lbt6I6Op3,https://api.spotify.com/v1/tracks/1ZyQEn0iceHj0Lbt6I6Op3,https://api.spotify.com/v1/audio-analysis/1ZyQEn0iceHj0Lbt6I6Op3,174400,4,Wild Reputation,POWER UP,POWER UP,2020-11-13,3bTNxJYk2bwdWBMtrjBxb0
0.49,0.905,0,-4.488,1,0.03,0.000459,0.00934,0.202,0.537,94.988,audio_features,3fKXS93P7YOS4xEUnWzkUz,spotify:track:3fKXS93P7YOS4xEUnWzkUz,https://api.spotify.com/v1/tracks/3fKXS93P7YOS4xEUnWzkUz,https://api.spotify.com/v1/audio-analysis/3fKXS93P7YOS4xEUnWzkUz,219640,4,No Man's Land,POWER UP,POWER UP,2020-11-13,3bTNxJYk2bwdWBMtrjBxb0
0.649,0.849,9,-4.502,1,0.0326,1.9e-05,0.0852,0.0949,0.864,116.009,audio_features,1uhPCuhxeC9wEYl7smMByK,spotify:track:1uhPCuhxeC9wEYl7smMByK,https://api.spotify.com/v1/tracks/1uhPCuhxeC9wEYl7smMByK,https://api.spotify.com/v1/audio-analysis/1uhPCuhxeC9wEYl7smMByK,192640,4,Systems Down,POWER UP,POWER UP,2020-11-13,3bTNxJYk2bwdWBMtrjBxb0
